condition,seed,mode,commit_count,complete,expected,fvs_size,peak_rss_kib,successful,total_ms,validator_commits_per_second
main-l3-n40-uniform-k1,29,accept_static_degree,40,True,3,0,2016,3,0.137381,291161.0775871481
main-l3-n40-uniform-k1,29,adaptive,40,True,3,0,2016,3,0.0533,750469.04315197
main-l3-n40-uniform-k1,29,graph,40,True,3,0,2000,3,0.052515,761687.1370084737
main-l3-n40-uniform-k1,29,lazy,40,True,3,0,2000,3,0.052805,757504.0242401288
main-l3-n40-uniform-k1,29,paper,40,True,3,0,2016,3,0.046586,858627.0553385137
main-l3-n40-uniform-k1,29,profile,40,True,3,0,1984,3,0.05343,748643.0844095078
main-l3-n40-uniform-k1,47,accept_id,38,True,3,2,2036,3,0.054418,698298.3571612334
main-l3-n40-uniform-k1,47,accept_static_degree,38,True,3,2,2016,3,0.133845,283910.4934812657
main-l3-n40-uniform-k1,47,adaptive,38,True,3,2,1984,3,0.078656,483116.3547599674
main-l3-n40-uniform-k1,47,graph,38,True,3,2,1964,3,0.068165,557470.8428078926
main-l3-n40-uniform-k1,47,lazy,38,True,3,2,2016,3,0.073776,515072.6523530688
main-l3-n40-uniform-k1,47,paper,38,True,3,2,2004,3,0.052264,727077.9121383744
main-l3-n40-uniform-k1,47,profile,38,True,3,2,2000,3,0.089088,426544.5402298851
main-l3-n40-uniform-k1,71,accept_id,40,True,3,0,1996,3,0.051908,770594.128072744
main-l3-n40-uniform-k1,71,accept_static_degree,40,True,3,0,2056,3,0.142052,281587.0244699124
main-l3-n40-uniform-k1,71,adaptive,40,True,3,0,2000,3,0.053809,743370.0682042037
main-l3-n40-uniform-k1,71,graph,40,True,3,0,1996,3,0.052649,759748.5232388079
main-l3-n40-uniform-k1,71,lazy,40,True,3,0,2036,3,0.055211,724493.307493072
main-l3-n40-uniform-k1,71,paper,40,True,3,0,2052,3,0.044966,889561.0016456879
main-l3-n40-uniform-k1,71,profile,40,True,3,0,2072,3,0.052605,760383.9939169281
main-l3-n40-uniform-k1,101,accept_id,38,True,3,2,2012,3,0.05294,717793.7287495277
main-l3-n40-uniform-k1,101,accept_static_degree,38,True,3,2,2036,3,0.133121,285454.586428888
main-l3-n40-uniform-k1,101,adaptive,38,True,3,2,1996,3,0.075436,503738.26820085896
main-l3-n40-uniform-k1,101,graph,38,True,3,2,2020,3,0.070347,540179.3964206007
main-l3-n40-uniform-k1,101,lazy,38,True,3,2,2020,3,0.0777,489060.48906048905
main-l3-n40-uniform-k1,101,paper,38,True,3,2,1976,3,0.048617,781619.5980829751
main-l3-n40-uniform-k1,101,profile,38,True,3,2,2020,3,0.089369,425203.3702961877
main-l3-n40-zipf-k1,11,accept_id,23,True,3,17,1984,3,0.053082,433291.88802230515
main-l3-n40-zipf-k1,11,accept_static_degree,24,True,3,16,1996,3,0.137016,175162.02487300753
main-l3-n40-zipf-k1,11,adaptive,24,True,3,16,3776,3,0.146599,163711.8943512575
main-l3-n40-zipf-k1,11,graph,24,True,3,16,2004,3,0.102956,233109.2894051828
main-l3-n40-zipf-k1,11,lazy,24,True,3,16,3844,3,0.142167,168815.5479119627
main-l3-n40-zipf-k1,11,paper,24,True,3,16,2036,3,0.075585,317523.31811867433
main-l3-n40-zipf-k1,11,profile,24,True,3,16,4084,3,0.175402,136828.54243395172
main-l3-n40-zipf-k1,29,accept_id,23,True,3,17,2016,3,0.05105,450538.6875612145
main-l3-n40-zipf-k1,29,accept_static_degree,23,True,3,17,2008,3,0.137468,167311.66526027874
main-l3-n40-zipf-k1,29,adaptive,23,True,3,17,3828,3,0.146097,157429.65290183917
main-l3-n40-zipf-k1,29,graph,23,True,3,17,2036,3,0.101403,226817.74700945732
main-l3-n40-zipf-k1,29,lazy,23,True,3,17,3960,3,0.143129,160694.19893941827
main-l3-n40-zipf-k1,29,paper,23,True,3,17,2016,3,0.078455,293161.685042381
main-l3-n40-zipf-k1,29,profile,23,True,3,17,4096,3,0.180047,127744.42228973545
main-l3-n40-zipf-k1,47,accept_id,20,True,3,20,2016,3,0.052581,380365.5312755558
main-l3-n40-zipf-k1,47,accept_static_degree,20,True,3,20,2004,3,0.139086,143795.92482349052
main-l3-n40-zipf-k1,47,adaptive,20,True,3,20,3888,3,0.149269,133986.29320220542
main-l3-n40-zipf-k1,47,graph,20,True,3,20,2004,3,0.106492,187807.5348382977
main-l3-n40-zipf-k1,47,lazy,20,True,3,20,3780,3,0.147484,135607.93035176696
main-l3-n40-zipf-k1,47,paper,20,True,3,20,2072,3,0.084454,236815.3077414924
main-l3-n40-zipf-k1,47,profile,20,True,3,20,4008,3,0.181567,110152.17523008035
main-l3-n40-zipf-k1,71,accept_id,17,True,3,23,2036,3,0.049968,340217.73935318604
main-l3-n40-zipf-k1,71,accept_static_degree,19,True,3,21,1984,3,0.134677,141078.28359705073
main-l3-n40-zipf-k1,71,adaptive,19,True,3,21,4020,3,0.150424,126309.6314417912
main-l3-n40-zipf-k1,71,graph,19,True,3,21,2016,3,0.109636,173300.74063263892
main-l3-n40-zipf-k1,71,lazy,19,True,3,21,3876,3,0.154367,123083.30148282988
main-l3-n40-zipf-k1,71,paper,19,True,3,21,2020,3,0.085032,223445.29118449526
main-l3-n40-zipf-k1,71,profile,19,True,3,21,4084,3,0.185321,102524.80830558867
main-l3-n40-zipf-k1,101,accept_id,18,True,3,22,1980,3,0.049461,363923.0909201189
main-l3-n40-zipf-k1,101,accept_static_degree,19,True,3,21,1980,3,0.138125,137556.56108597285
main-l3-n40-zipf-k1,101,adaptive,19,True,3,21,3880,3,0.151711,125238.11720969474
main-l3-n40-zipf-k1,101,graph,19,True,3,21,2000,3,0.107379,176943.35018951565
main-l3-n40-zipf-k1,101,lazy,19,True,3,21,3904,3,0.14652,129675.12967512966
main-l3-n40-zipf-k1,101,paper,19,True,3,21,2000,3,0.085498,222227.4205244567
main-l3-n40-zipf-k1,101,profile,19,True,3,21,4080,3,0.184379,103048.61182672648
main-l4-n40-uniform-k1,11,accept_id,37,True,3,3,2036,3,0.061497,601655.3653023725
main-l4-n40-uniform-k1,11,accept_static_degree,37,True,3,3,1956,3,0.252627,146460.98793873974
main-l4-n40-uniform-k1,11,adaptive,37,True,3,3,3880,3,0.115947,319111.3181022364
main-l4-n40-uniform-k1,11,graph,37,True,3,3,2012,3,0.078841,469298.96881064423
main-l4-n40-uniform-k1,11,lazy,37,True,3,3,3860,3,0.119283,310186.69885901595
main-l4-n40-uniform-k1,11,paper,37,True,3,3,2020,3,0.060759,608963.2811599928
main-l4-n40-uniform-k1,11,profile,37,True,3,3,4172,3,0.132585,279066.2593807746
main-l4-n40-uniform-k1,29,accept_id,39,True,3,1,2016,3,0.060081,649123.6830279123
main-l4-n40-uniform-k1,29,accept_static_degree,39,True,3,1,1996,3,0.252891,154216.63878904353
main-l4-n40-uniform-k1,29,adaptive,39,True,3,1,2032,3,0.084892,459407.24685482733
main-l4-n40-uniform-k1,29,graph,39,True,3,1,2056,3,0.074696,522116.3114490736
main-l4-n40-uniform-k1,29,lazy,39,True,3,1,2032,3,0.084388,462151.0167322368
main-l4-n40-uniform-k1,29,paper,39,True,3,1,2016,3,0.05791,673458.8154032119
main-l4-n40-uniform-k1,29,profile,39,True,3,1,2036,3,0.098362,396494.581240723
main-l4-n40-uniform-k1,47,accept_id,39,True,3,1,2004,3,0.059009,660916.1314375773
main-l4-n40-uniform-k1,47,accept_static_degree,39,True,3,1,2004,3,0.246993,157899.21171855074
main-l4-n40-uniform-k1,47,adaptive,39,True,3,1,2004,3,0.090215,432300.6151970293
main-l4-n40-uniform-k1,47,graph,39,True,3,1,2004,3,0.077027,506315.96712840954
main-l4-n40-uniform-k1,47,lazy,39,True,3,1,1996,3,0.08644,451180.00925497455
main-l4-n40-uniform-k1,47,paper,39,True,3,1,1996,3,0.058649,664972.97481628
main-l4-n40-uniform-k1,47,profile,39,True,3,1,2016,3,0.101885,382784.5119497473
