condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,seed,repetition,commit_delta,batch_delta_ms,extra_cost_us,eas_rate,baseline_rate,rate_ratio
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,3,0,-0.010994999999999977,100,9617.662791918965,9609.597883325907,1.0008392555745804
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,29,3,0,-0.010994999999999977,1000,982.0664073928214,981.9822544739832,1.0000856969853118
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,3,0,0.027039000000000035,0,410084.1648928899,449654.7294042075,0.9119978909957234
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,3,0,0.027039000000000035,0.1,393683.5658982547,430012.1154207123,0.9155173814418817
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,3,0,0.027039000000000035,1,289486.13912795746,308660.8772338106,0.9378776530485647
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,3,0,0.027039000000000035,10,79382.3798837489,80758.10064638528,0.98296491928828
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,3,0,0.027039000000000035,100,9612.997505045678,9632.869184489704,0.9979370965115957
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,29,3,0,0.027039000000000035,1000,982.017743127758,982.22473356472,0.9997892636685997
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,3,0,-0.004636999999999947,0,410084.1648928899,403987.29043159314,1.0150917481953041
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,3,0,-0.004636999999999947,0.1,393683.5658982547,388061.2644021547,1.0144881801196046
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,29,3,0,-0.004636999999999947,1,289486.13912795746,286434.5940244288,1.0106535494217168
