condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,seed,repetition,baseline,status,commit_delta,batch_delta_ms,selector_delta_ms,batch_speedup,selector_speedup,rate_ratio,baseline_commits,commits,baseline_batch_ms,batch_ms,quality_cost
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,29,3,native,ok,0,0.15187499999999998,0.158055,0.5130510338547762,0.0,0.5130510338554315,126,126,0.160016,0.311891,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,29,3,accept_id,ok,0,0.03167599999999998,0.026628000000000013,0.8984388776848322,0.8315270000949035,0.8984388776861517,126,126,0.280215,0.311891,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,1,native,ok,0,0.14815099999999998,0.158619,0.5262291097708391,0.0,0.5262291097700702,122,122,0.164555,0.312706,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,1,accept_id,ok,0,0.026092999999999977,0.024652000000000007,0.9165574053583878,0.8445835618683764,0.9165574053577665,122,122,0.286613,0.312706,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,1,accept_static_degree,ok,0,-0.012936000000000003,-0.00466999999999998,1.0413679302603724,1.0294416179650607,1.041367930258146,122,122,0.325642,0.312706,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,47,1,accept_id,ok,0,-0.122058,-0.133967,1.741745920816748,,1.7417459208181123,122,122,0.286613,0.164555,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,47,1,accept_static_degree,ok,0,-0.16108699999999998,-0.163289,1.97892497949014,,1.9789249794888006,122,122,0.325642,0.164555,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,47,1,native,ok,0,0.16108699999999998,0.163289,0.505324865957094,0.0,0.505324865957436,122,122,0.164555,0.325642,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,47,1,accept_id,ok,0,0.03902899999999998,0.029321999999999987,0.8801475239680385,0.8204288102689098,0.8801475239693236,122,122,0.286613,0.325642,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,47,1,native,ok,0,0.162045,0.161377,0.5038426209430497,0.0,0.5038426209423551,122,122,0.164555,0.3266,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,47,1,accept_id,ok,0,0.039986999999999995,0.02740999999999999,0.8775658297611758,0.8301492777781221,0.8775658297606534,122,122,0.286613,0.3266,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,47,1,accept_static_degree,ok,0,0.0009580000000000144,-0.001911999999999997,0.9970667483159829,1.011848032867137,0.9970667483139336,122,122,0.325642,0.3266,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,47,1,native,ok,0,0.122058,0.133967,0.5741365534710569,0.0,0.5741365534706071,122,122,0.164555,0.286613,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,47,1,accept_static_degree,ok,0,-0.03902899999999998,-0.029321999999999987,1.1361731673022506,1.2188747975247634,1.136173167300592,122,122,0.325642,0.286613,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,2,native,ok,0,0.16223200000000002,0.166258,0.49680212901905074,0.0,0.49680212901916576,122,122,0.16017,0.322402,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,2,accept_id,ok,0,0.028717000000000048,0.02887999999999999,0.9109279719108441,0.8262940730671607,0.9109279719094949,122,122,0.293685,0.322402,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,2,accept_static_degree,ok,0,0.0008490000000000442,0.0026219999999999855,0.9973666416461435,0.9842293303179397,0.9973666416458793,122,122,0.321553,0.322402,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,47,2,accept_id,ok,0,-0.13351499999999997,-0.137378,1.83358306799026,,1.83358306798712,122,122,0.293685,0.16017,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,47,2,accept_static_degree,ok,0,-0.16138299999999997,-0.163636,2.0075732034713116,,2.007573203470315,122,122,0.321553,0.16017,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,47,2,native,ok,0,0.16041199999999997,0.164125,0.49962256146633316,0.0,0.49962256146605044,122,122,0.16017,0.320582,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,47,2,accept_id,ok,0,0.026897000000000004,0.026746999999999993,0.9160994690905915,0.837032749428789,0.9160994690885041,122,122,0.293685,0.320582,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,47,2,accept_static_degree,ok,0,-0.0009709999999999996,0.0004889999999999894,1.0030288662495086,0.997020563594821,1.0030288662484432,122,122,0.321553,0.320582,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,47,2,native,ok,0,0.13351499999999997,0.137378,0.545380254354155,0.0,0.5453802543550891,122,122,0.16017,0.293685,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,47,2,accept_static_degree,ok,0,-0.027868000000000004,-0.026258000000000004,1.0948907843437696,1.1911368632532138,1.0948907843451012,122,122,0.321553,0.293685,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,47,2,native,ok,0,0.16138299999999997,0.163636,0.4981138412641151,0.0,0.4981138412643624,122,122,0.16017,0.321553,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,47,2,accept_id,ok,0,0.027868000000000004,0.026258000000000004,0.9133331052734697,0.8395340878535286,0.9133331052723589,122,122,0.293685,0.321553,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,3,native,ok,0,0.155297,0.158137,0.5126316516237557,0.0,0.5126316516237509,122,122,0.163347,0.318644,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,3,accept_id,ok,0,0.02899099999999999,0.023115999999999998,0.9090175870250186,0.8538229509855378,0.909017587025052,122,122,0.289653,0.318644,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k1_adaptive,eas,1,adaptive,47,3,accept_static_degree,ok,0,0.009503999999999957,0.0015610000000000068,0.9701736106752364,0.9901288123589039,0.9701736106770195,122,122,0.30914,0.318644,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,47,3,native,ok,0,0.14579300000000003,0.156576,0.5283916672057967,0.0,0.5283916672048207,122,122,0.163347,0.30914,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_static_degree,accept_static_degree,,greedy,47,3,accept_id,ok,0,0.019487000000000032,0.02155499999999999,0.9369638351555928,0.8623352237890864,0.9369638351539052,122,122,0.289653,0.30914,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,47,3,native,ok,0,0.150332,0.158108,0.5207457305079396,0.0,0.5207457305078049,122,122,0.163347,0.313679,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,47,3,accept_id,ok,0,0.024025999999999992,0.023086999999999996,0.9234057746932374,0.8539795582766211,0.9234057746930411,122,122,0.289653,0.313679,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,eas_k2_adaptive,eas,2,adaptive,47,3,accept_static_degree,ok,0,0.00453899999999996,0.0015320000000000056,0.9855297931962294,0.9903104207250739,0.985529793197795,122,122,0.30914,0.313679,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,47,3,native,ok,0,0.126306,0.135021,0.5639403009808288,0.0,0.5639403009808028,122,122,0.163347,0.289653,baseline_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,accept_id,accept_id,,greedy,47,3,accept_static_degree,ok,0,-0.019487000000000032,-0.02155499999999999,1.0672770521969392,1.1596418334925678,1.0672770521988615,122,122,0.30914,0.289653,variant_dominates
l2-n128-uniform-w1,main,2,128,uniform,1,native,native,,native,47,3,accept_id,ok,0,-0.126306,-0.135021,1.7732373413653144,,1.7732373413653961,122,122,0.289653,0.163347,variant_dominates
