condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,metric,count,median,minimum,maximum,q1,q3,iqr
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k2_adaptive,eas,2,adaptive,native,rate_ratio,5,0.35272666672195674,0.3346885229979779,0.37583305334986217,0.3491952764445657,0.3552948189890046,0.006099542544438896
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_id,commit_delta,5,0,-3,2,-1.0,1.0,2.0
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_id,batch_delta_ms,5,0.13992400000000005,0.12868400000000002,0.14984000000000003,0.13124399999999997,0.143934,0.012690000000000035
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_id,selector_delta_ms,5,0.13866499999999998,0.13046800000000003,0.15144799999999997,0.131489,0.14916300000000002,0.017674000000000023
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_id,batch_speedup,5,0.6531744339954689,0.6382694680021533,0.6877655932169254,0.6423564607865305,0.6690913400081188,0.026734879221588237
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_id,selector_speedup,5,0.4866217702135852,0.46318259476396745,0.5121264043974746,0.4679097077058081,0.5002324570521421,0.032322749346334056
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_id,rate_ratio,5,0.6595451169350045,0.6306772524072707,0.6877655932186341,0.6400004121814973,0.6629233061433966,0.022922893961899282
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,commit_delta,5,-2,-4,0,-3.0,-1.0,2.0
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,batch_delta_ms,5,0.10628399999999999,0.10152800000000001,0.12604100000000001,0.10462200000000005,0.12132100000000001,0.016698999999999964
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,selector_delta_ms,5,0.10648800000000003,0.09993600000000002,0.12415899999999999,0.10201700000000002,0.12060900000000002,0.018591999999999997
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,batch_speedup,5,0.7366171228324572,0.6947856809029468,0.7481750829056797,0.7113960967904618,0.7381799907868839,0.026783893996422115
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,selector_speedup,5,0.607575204802494,0.5598287265792813,0.6191567527726274,0.5743253667704564,0.6089459783729496,0.03462061160249319
l2-n128-zipf-w1,main,2,128,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,rate_ratio,5,0.7113960967897978,0.6582180134891217,0.727481730052494,0.7054222210235939,0.7155709193246028,0.010148698301008952
l2-n128-zipf-w1,main,2,128,zipf,1,accept_static_degree,accept_static_degree,,greedy,native,commit_delta,5,5,5,7,5.0,6.0,1.0
l2-n128-zipf-w1,main,2,128,zipf,1,accept_static_degree,accept_static_degree,,greedy,native,batch_delta_ms,5,0.158606,0.15408200000000002,0.16391099999999997,0.154764,0.160393,0.005628999999999995
l2-n128-zipf-w1,main,2,128,zipf,1,accept_static_degree,accept_static_degree,,greedy,native,selector_delta_ms,5,0.161286,0.15794,0.164582,0.160401,0.162159,0.0017580000000000096
l2-n128-zipf-w1,main,2,128,zipf,1,accept_static_degree,accept_static_degree,,greedy,native,batch_speedup,5,0.46474826385992074,0.4494918926872005,0.4747861062821692,0.46059849852571116,0.46675049506947786,0.006151996543766691
l2-n128-zipf-w1,main,2,128,zipf,1,accept_static_degree,accept_static_degree,,greedy,native,selector_speedup,5,0.0,0.0,0.0,0.0,0.0,0.0
