condition,suite,arity,n,distribution,workers,variant,policy,policy_k,implementation,baseline,seed,repetition,commit_delta,batch_delta_ms,wins_for,crossover_us
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,71,3,0,0.046811999999999854,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,71,3,0,0.15668700000000002,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,71,3,-2,0.055809999999999915,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,101,1,3,0.189986,c_above,55.20086848958335
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,101,1,0,0.067631,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,101,1,1,0.18155200000000016,c_above,162.10985937499998
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,101,1,-2,0.059197000000000166,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,101,2,1,0.14089400000000007,c_above,125.29686328125011
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,101,2,-2,0.038416000000000006,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,101,2,3,0.201314,c_above,58.569399739583304
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,101,2,0,0.09883599999999992,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_id,101,3,3,0.15695400000000004,c_above,45.25235742187502
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,101,3,0,0.033663,no_c,
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_id,101,3,1,0.19032099999999996,c_above,170.04803906249987
l2-n512-uniform-w1,main,2,512,uniform,1,eas_k2_adaptive,eas,2,adaptive,accept_static_degree,101,3,-2,0.06702999999999992,no_c,
l2-n512-zipf-w1,main,2,512,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_id,11,1,10,0.964844,c_above,30.601427343750004
l2-n512-zipf-w1,main,2,512,zipf,1,eas_k1_adaptive,eas,1,adaptive,accept_static_degree,11,1,0,0.859701,no_c,
l2-n512-zipf-w1,main,2,512,zipf,1,eas_k2_adaptive,eas,2,adaptive,accept_id,11,1,10,0.803148,c_above,25.169452343750002
