condition,numerator,denominator,commit_delta_count,commit_delta_maximum,commit_delta_median,commit_delta_minimum,complete,complete_seeds,expected_seeds,total_ms_delta_count,total_ms_delta_maximum,total_ms_delta_median,total_ms_delta_minimum,total_ms_ratio_count,total_ms_ratio_maximum,total_ms_ratio_median,total_ms_ratio_minimum,validator_rate_ratio_count,validator_rate_ratio_maximum,validator_rate_ratio_median,validator_rate_ratio_minimum
main-l3-n512-zipf-k1,paper,adaptive,5,0,0,0,True,5,5,5,2.0047309999999996,1.890996,1.7569590000000002,5,1.9436168580355635,1.848948313723995,1.7961164740596816,5,0.5567567663024352,0.540848001308314,0.5145046956480465
main-l4-n128-uniform-k1,adaptive,accept_id,5,3,0,0,True,5,5,5,0.22285299999999997,0.15951600000000002,0.15119500000000002,5,2.436139842113742,2.027001970100823,1.996191680997279,5,0.5065538807713353,0.49641169207525127,0.421887840759591
main-l4-n128-uniform-k1,adaptive,accept_static_degree,5,0,0,0,True,5,5,5,-0.38840800000000003,-0.422974,-0.4381070000000001,5,0.4932283974134826,0.42663487942347517,0.40945344650725796,5,2.4422800895443775,2.3439246255517854,2.0274582835133907
main-l4-n128-uniform-k1,graph,adaptive,5,0,0,0,True,5,5,5,-0.103464,-0.11742000000000002,-0.16936600000000002,5,0.6539086803813347,0.6272984373958501,0.5474522378089512,5,1.826643368930712,1.5941375593909863,1.529265522850741
main-l4-n128-uniform-k1,paper,adaptive,5,0,0,0,True,5,5,5,-0.13811600000000002,-0.150071,-0.203163,5,0.5441234717857991,0.5233389870346019,0.4554175981472248,5,2.195786908692812,1.9108073825462626,1.8378181641714995
main-l4-n128-zipf-k1,adaptive,accept_id,5,6,3,3,True,5,5,5,0.696242,0.676742,0.6501819999999999,5,5.912388013154911,5.68463242420047,5.360106354622028,5,0.22094210150720422,0.19411075220351934,0.18865213394366429
main-l4-n128-zipf-k1,adaptive,accept_static_degree,5,1,0,0,True,5,5,5,0.006624000000000074,-0.01974699999999996,-0.057616,5,1.0079644198201514,0.9765587254556312,0.9326652369794254,5,1.1037312466365585,1.024003957911934,0.9920985109558011
main-l4-n128-zipf-k1,graph,adaptive,5,0,0,0,True,5,5,5,-0.14251800000000003,-0.1749980000000001,-0.20413499999999996,5,0.8264519570093594,0.7892108445635048,0.7442074358842629,5,1.3437113790885549,1.2670885187254088,1.209991689799671
main-l4-n128-zipf-k1,paper,adaptive,5,0,0,0,True,5,5,5,-0.302967,-0.32863599999999993,-0.33085,5,0.6310688478596009,0.60670529139723,0.5831611466123733,5,1.714791881813586,1.6482467092004758,1.5846131581232452
main-l4-n2048-uniform-k1,adaptive,accept_id,5,97,85,76,True,5,5,5,15.215330999999999,15.058412999999998,15.038523,5,8.291310135826748,8.21066802914451,8.16733461919557,5,0.13828660175900484,0.13537035334189945,0.13375256619005274
main-l4-n2048-uniform-k1,adaptive,accept_static_degree,5,-4,-8,-20,True,5,5,5,1.587667999999999,1.313426999999999,1.2325349999999986,5,1.1010324326563614,1.0827005825693623,1.0779172430482407,5,0.916743628246453,0.9118250542566398,0.9028958798792202
main-l4-n2048-uniform-k1,graph,adaptive,5,0,0,0,True,5,5,5,-10.95569,-10.961071,-11.169588999999998,5,0.36097244194745376,0.3593748547281736,0.3544376416120881,5,2.82137076483102,2.7826098204794736,2.770294581505944
main-l4-n2048-uniform-k1,paper,adaptive,5,0,0,0,True,5,5,5,14.363702,10.838107,7.050792000000001,5,1.837691657872491,1.6264038824866822,1.4114433527150987,5,0.7084946045311471,0.6148534264878014,0.5441609291287242
main-l4-n2048-zipf-k1,adaptive,accept_id,5,29,24,21,True,5,5,5,19.356564,19.153793,18.908036,5,12.666877195971914,12.556211672645516,12.497813146811504,5,0.09916734540647396,0.09473526753552183,0.09357918061861048
main-l4-n2048-zipf-k1,adaptive,accept_static_degree,5,1,0,-1,True,5,5,5,5.1007750000000005,4.907128999999999,4.794956000000001,5,1.3229996467685545,1.3095370096149428,1.304998122288386,5,0.7689687268091063,0.7662846274801108,0.7507509511958328
main-l4-n2048-zipf-k1,graph,adaptive,5,0,0,0,True,5,5,5,123.33006599999999,121.858109,116.32741099999998,5,6.931953946118094,6.843172537373719,6.669838396017562,5,0.14992867002551089,0.14613105172177657,0.14425946966367278
