condition,seed,mode,commit_count,complete,expected,fvs_size,peak_rss_kib,successful,total_ms,validator_commits_per_second
main-l1-n2048-zipf-k1,101,paper,903,True,3,1145,5188,3,16.800361,53748.845039698856
main-l1-n2048-zipf-k1,101,profile,903,True,3,1145,4300,3,2.83274,318772.6370934149
main-l1-n40-uniform-k1,11,accept_id,40,True,3,0,2020,3,0.034468,1160496.6925844261
main-l1-n40-uniform-k1,11,accept_static_degree,40,True,3,0,2016,3,0.037544,1065416.5778819518
main-l1-n40-uniform-k1,11,adaptive,40,True,3,0,2008,3,0.038172,1047888.504663104
main-l1-n40-uniform-k1,11,graph,40,True,3,0,1996,3,0.035652,1121956.6924716705
main-l1-n40-uniform-k1,11,lazy,40,True,3,0,2016,3,0.037201,1075239.912905567
main-l1-n40-uniform-k1,11,paper,40,True,3,0,1964,3,0.027701,1443991.1916537308
main-l1-n40-uniform-k1,11,profile,40,True,3,0,2016,3,0.037656,1062247.7161674101
main-l1-n40-uniform-k1,29,accept_id,40,True,3,0,2016,3,0.036901,1083981.463916967
main-l1-n40-uniform-k1,29,accept_static_degree,40,True,3,0,2012,3,0.036908,1083775.875149019
main-l1-n40-uniform-k1,29,adaptive,40,True,3,0,2036,3,0.036988,1081431.8157240185
main-l1-n40-uniform-k1,29,graph,40,True,3,0,2004,3,0.037398,1069575.9131504358
main-l1-n40-uniform-k1,29,lazy,40,True,3,0,2036,3,0.036944,1082719.7921178
main-l1-n40-uniform-k1,29,paper,40,True,3,0,2016,3,0.026607,1503363.7764498065
main-l1-n40-uniform-k1,29,profile,40,True,3,0,2000,3,0.037226,1074517.8101327028
main-l1-n40-uniform-k1,47,accept_id,40,True,3,0,1984,3,0.035532,1125745.8065968703
main-l1-n40-uniform-k1,47,accept_static_degree,40,True,3,0,1996,3,0.037141,1076976.9257693654
main-l1-n40-uniform-k1,47,adaptive,40,True,3,0,2016,3,0.036458,1097152.8882549785
main-l1-n40-uniform-k1,47,graph,40,True,3,0,1984,3,0.037313,1072012.43534425
main-l1-n40-uniform-k1,47,lazy,40,True,3,0,2028,3,0.03714,1077005.9235325796
main-l1-n40-uniform-k1,47,paper,40,True,3,0,1996,3,0.02628,1522070.0152207
main-l1-n40-uniform-k1,47,profile,40,True,3,0,1996,3,0.037048,1079680.4145972792
main-l1-n40-uniform-k1,71,accept_id,40,True,3,0,2016,3,0.036745,1088583.4807456797
main-l1-n40-uniform-k1,71,accept_static_degree,40,True,3,0,1984,3,0.037088,1078515.962036238
main-l1-n40-uniform-k1,71,adaptive,40,True,3,0,1988,3,0.038642,1035143.1085347548
main-l1-n40-uniform-k1,71,graph,40,True,3,0,1980,3,0.037194,1075442.2756358553
main-l1-n40-uniform-k1,71,lazy,40,True,3,0,2000,3,0.036942,1082778.4093985164
main-l1-n40-uniform-k1,71,paper,40,True,3,0,2016,3,0.026073,1534154.1057799256
main-l1-n40-uniform-k1,71,profile,40,True,3,0,2004,3,0.036958,1082309.648790519
main-l1-n40-uniform-k1,101,accept_id,40,True,3,0,1996,3,0.035211,1136008.633665616
main-l1-n40-uniform-k1,101,accept_static_degree,40,True,3,0,2016,3,0.035002,1142791.840466259
main-l1-n40-uniform-k1,101,adaptive,40,True,3,0,2016,3,0.036847,1085570.0599777459
main-l1-n40-uniform-k1,101,graph,40,True,3,0,1996,3,0.036241,1103722.3034684472
main-l1-n40-uniform-k1,101,lazy,40,True,3,0,2020,3,0.03534,1131861.9128466325
main-l1-n40-uniform-k1,101,paper,40,True,3,0,2016,3,0.025464,1570845.1146716934
main-l1-n40-uniform-k1,101,profile,40,True,3,0,2004,3,0.036664,1090988.4355225833
main-l1-n40-zipf-k1,11,accept_id,31,True,3,9,2032,3,0.035218,880231.6996990176
main-l1-n40-zipf-k1,11,accept_static_degree,31,True,3,9,1996,3,0.039042,794016.6999641411
main-l1-n40-zipf-k1,11,adaptive,31,True,3,9,1992,3,0.064844,478070.44599346124
main-l1-n40-zipf-k1,11,graph,31,True,3,9,2008,3,0.053636,577970.0201357297
main-l1-n40-zipf-k1,11,lazy,31,True,3,9,1996,3,0.048958,633195.8004820459
main-l1-n40-zipf-k1,11,paper,31,True,3,9,1996,3,0.038776,799463.5857231277
main-l1-n40-zipf-k1,11,profile,31,True,3,9,1996,3,0.066004,469668.50493909465
main-l1-n40-zipf-k1,29,accept_id,33,True,3,7,2000,3,0.035511,929289.515924643
main-l1-n40-zipf-k1,29,accept_static_degree,33,True,3,7,2036,3,0.038194,864010.0539351731
main-l1-n40-zipf-k1,29,adaptive,33,True,3,7,2016,3,0.062075,531614.981876762
main-l1-n40-zipf-k1,29,graph,33,True,3,7,2020,3,0.051155,645098.2308669729
main-l1-n40-zipf-k1,29,lazy,33,True,3,7,2000,3,0.04914,671550.6715506715
main-l1-n40-zipf-k1,29,paper,33,True,3,7,2000,3,0.037123,888936.777738868
main-l1-n40-zipf-k1,29,profile,33,True,3,7,1968,3,0.062862,524959.4349527536
main-l1-n40-zipf-k1,47,accept_id,37,True,3,3,2020,3,0.036279,1019873.7561674798
main-l1-n40-zipf-k1,47,accept_static_degree,37,True,3,3,2004,3,0.039852,928435.2102780287
main-l1-n40-zipf-k1,47,adaptive,37,True,3,3,2004,3,0.05647,655215.1584912343
main-l1-n40-zipf-k1,47,graph,37,True,3,3,2016,3,0.046307,799015.2676701146
main-l1-n40-zipf-k1,47,lazy,37,True,3,3,1984,3,0.044991,822386.6995621346
main-l1-n40-zipf-k1,47,paper,37,True,3,3,2000,3,0.029792,1241944.1460794844
main-l1-n40-zipf-k1,47,profile,37,True,3,3,2008,3,0.054929,673596.8249922628
main-l1-n40-zipf-k1,71,accept_id,32,True,3,8,2036,3,0.034966,915174.7411771435
main-l1-n40-zipf-k1,71,accept_static_degree,32,True,3,8,2004,3,0.039034,819798.1247117898
main-l1-n40-zipf-k1,71,adaptive,32,True,3,8,1992,3,0.064441,496578.2653900467
main-l1-n40-zipf-k1,71,graph,32,True,3,8,2016,3,0.052048,614817.0919151553
main-l1-n40-zipf-k1,71,lazy,32,True,3,8,2052,3,0.049031,652648.3245293794
main-l1-n40-zipf-k1,71,paper,32,True,3,8,1996,3,0.037122,862022.5203383438
main-l1-n40-zipf-k1,71,profile,32,True,3,8,1984,3,0.063796,501598.8463226534
main-l1-n40-zipf-k1,101,accept_id,29,True,3,11,2004,3,0.034419,842557.8895377554
main-l1-n40-zipf-k1,101,accept_static_degree,29,True,3,11,2016,3,0.03837,755798.8011467292
main-l1-n40-zipf-k1,101,adaptive,29,True,3,11,2020,3,0.06636,437010.2471368294
main-l1-n40-zipf-k1,101,graph,29,True,3,11,1984,3,0.053071,546437.7908839103
main-l1-n40-zipf-k1,101,lazy,29,True,3,11,1988,3,0.051211,566284.5872956982
main-l1-n40-zipf-k1,101,paper,29,True,3,11,2004,3,0.041956,691200.305081514
main-l1-n40-zipf-k1,101,profile,29,True,3,11,1984,3,0.066307,437359.5547981359
