condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,baseline,mode,seed,metric,status,ratio,baseline_ms,baseline_status,mode_ms,mode_status
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,native,adaptive,71,batch_ms,ok,0.38801755070597294,6.982001,ok,17.994034,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,lazy,101,selector_ms,ok,1.5668058237362534,13.369247,ok,8.532804,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,lazy,101,batch_ms,ok,1.3301638554314714,19.654275,ok,14.77583,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,profile,101,selector_ms,ok,1.1381091035638868,13.369247,ok,11.746894,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,profile,101,batch_ms,ok,1.0868263329016281,19.654275,ok,18.084099,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,adaptive,101,selector_ms,ok,1.1408491279863322,13.369247,ok,11.718681,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,graph,adaptive,101,batch_ms,ok,1.091546503262431,19.654275,ok,18.005898,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,native,graph,101,batch_ms,ok,0.3532469653548656,6.942813,ok,19.654275,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,native,lazy,101,batch_ms,ok,0.46987634535589545,6.942813,ok,14.77583,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,native,profile,101,batch_ms,ok,0.38391810396525705,6.942813,ok,18.084099,ok
arity-l1-n8192-uniform-w1-k2,arity,1,8192,uniform,1,2,10000,False,native,adaptive,101,batch_ms,ok,0.38558548982116864,6.942813,ok,18.005898,ok
arity-l1-n8192-zipf-w1-k2,arity,1,8192,zipf,1,2,10000,False,graph,lazy,11,selector_ms,ok,2.811687645704169,127.724783,ok,45.426377,ok
arity-l1-n8192-zipf-w1-k2,arity,1,8192,zipf,1,2,10000,False,graph,lazy,11,batch_ms,ok,2.651850003715003,133.199148,ok,50.228764,ok
arity-l1-n8192-zipf-w1-k2,arity,1,8192,zipf,1,2,10000,False,graph,profile,11,selector_ms,ok,10.365967187569746,127.724783,ok,12.32155,ok
arity-l1-n8192-zipf-w1-k2,arity,1,8192,zipf,1,2,10000,False,graph,profile,11,batch_ms,ok,7.731685351595706,133.199148,ok,17.227699,ok
arity-l1-n8192-zipf-w1-k2,arity,1,8192,zipf,1,2,10000,False,graph,adaptive,11,selector_ms,ok,10.318678079156129,127.724783,ok,12.378018,ok
arity-l1-n8192-zipf-w1-k2,arity,1,8192,zipf,1,2,10000,False,graph,adaptive,11,batch_ms,ok,7.705183672333696,133.199148,ok,17.286953,ok
arity-l1-n8192-zipf-w1-k2,arity,1,8192,zipf,1,2,10000,False,native,graph,11,batch_ms,ok,0.04286187326063076,5.709165,ok,133.199148,ok
arity-l1-n8192-zipf-w1-k2,arity,1,8192,zipf,1,2,10000,False,native,lazy,11,batch_ms,ok,0.11366325876543568,5.709165,ok,50.228764,ok
arity-l1-n8192-zipf-w1-k2,arity,1,8192,zipf,1,2,10000,False,native,profile,11,batch_ms,ok,0.33139451763117056,5.709165,ok,17.227699,ok
arity-l1-n8192-zipf-w1-k2,arity,1,8192,zipf,1,2,10000,False,native,adaptive,11,batch_ms,ok,0.33025860601344836,5.709165,ok,17.286953,ok
arity-l1-n8192-zipf-w1-k2,arity,1,8192,zipf,1,2,10000,False,graph,lazy,29,selector_ms,ok,2.7191868030219504,131.696471,ok,48.4323,ok
arity-l1-n8192-zipf-w1-k2,arity,1,8192,zipf,1,2,10000,False,graph,lazy,29,batch_ms,ok,2.554952201725767,136.846684,ok,53.561348,ok
arity-l1-n8192-zipf-w1-k2,arity,1,8192,zipf,1,2,10000,False,graph,profile,29,selector_ms,ok,10.595153098433219,131.696471,ok,12.429879,ok
arity-l1-n8192-zipf-w1-k2,arity,1,8192,zipf,1,2,10000,False,graph,profile,29,batch_ms,ok,7.925917259643125,136.846684,ok,17.265722,ok
