condition,suite,arity,n,distribution,workers,policy_k,key_count,selector_only,baseline,mode,metric,count,median,minimum,maximum,q1,q3,iqr,expected_pairs
worst-l2-n16384-identical-w1-k1,worst,2,16384,identical,1,1,10000,False,native,graph,batch_ms,5,0.00036936650913080196,0.00036417361501252547,0.0003813968655050238,0.0003648902916831692,0.0003755769732641177,1.0686681580948513e-05,5
worst-l2-n16384-identical-w1-k1,worst,2,16384,identical,1,1,10000,False,native,lazy,batch_ms,5,0.0007339339461346209,0.0007282656442426431,0.0007526030051931111,0.000729431676869529,0.0007394210342412419,9.989357371712913e-06,5
worst-l2-n16384-identical-w1-k1,worst,2,16384,identical,1,1,10000,False,native,profile,batch_ms,5,0.3069139539985075,0.29857714647611444,0.3149711788413226,0.3052287613483581,0.3070819726812865,0.0018532113329284283,5
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,adaptive,batch_ms,5,0.1717815500429034,0.17077342717374286,0.1761435169152796,0.17111793123529498,0.17241267033721885,0.0012947391019238752,5
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,graph,batch_ms,5,0.037535338786136005,0.0371203039651881,0.037891714610993076,0.037383610603397094,0.037889028251720996,0.0005054176483239026,5
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,lazy,batch_ms,5,0.05120184732772483,0.05071535381064019,0.051945877883152705,0.05072792527376293,0.05161357420405562,0.0008856489302926929,5
worst-l2-n256-identical-w1-k1,worst,2,256,identical,1,1,10000,False,native,profile,batch_ms,5,0.2911178037384025,0.2850785331005373,0.29863228520073637,0.2879766761380172,0.2924564284001831,0.004479752262165904,5
worst-l2-n4096-identical-w1-k1,worst,2,4096,identical,1,1,10000,False,native,adaptive,batch_ms,5,0.08120455422039168,0.08050860019888406,0.08517385503053111,0.0807624186428957,0.08133259268964925,0.0005701740467535521,5
worst-l2-n4096-identical-w1-k1,worst,2,4096,identical,1,1,10000,False,native,graph,batch_ms,5,0.0019220666480649572,0.0019073293694269477,0.002019292538876291,0.001913038119903328,0.001939514447805537,2.647632790220896e-05,5
worst-l2-n4096-identical-w1-k1,worst,2,4096,identical,1,1,10000,False,native,lazy,batch_ms,5,0.0031761242067430955,0.003152591514519744,0.0033395251935578814,0.003160593277187897,0.0032055192188102295,4.492594162233254e-05,5
worst-l2-n4096-identical-w1-k1,worst,2,4096,identical,1,1,10000,False,native,profile,batch_ms,5,0.3132146196666968,0.30629623873785716,0.32696951040090616,0.30957054617784474,0.3140622196182121,0.004491673440367383,5
worst-l4-n1024-identical-w1-k1,worst,4,1024,identical,1,1,10000,False,native,adaptive,batch_ms,5,0.11112704124066541,0.11057429598283018,0.1119619801084877,0.11097738324279,0.11189925979054934,0.0009218765477593399,5
worst-l4-n1024-identical-w1-k1,worst,4,1024,identical,1,1,10000,False,native,graph,batch_ms,5,0.011755843584389225,0.011712248424628818,0.011827431396460544,0.011754743741315911,0.011803836176266772,4.909243495086063e-05,5
worst-l4-n1024-identical-w1-k1,worst,4,1024,identical,1,1,10000,False,native,lazy,batch_ms,5,0.016162725583281287,0.016061793780488855,0.016307071156969277,0.01611233874627942,0.016300074172224836,0.00018773542594541573,5
worst-l4-n1024-identical-w1-k1,worst,4,1024,identical,1,1,10000,False,native,profile,batch_ms,5,0.22177127068761854,0.22113439891917905,0.2239194969670577,0.22152362743032922,0.2221787217136052,0.000655094283275981,5
worst-l4-n16384-identical-w1-k1,worst,4,16384,identical,1,1,10000,False,native,adaptive,batch_ms,5,0.048286492589091894,0.04760993366652059,0.04885467241264594,0.04786582016243837,0.048563386511040176,0.0006975663486018038,5
worst-l4-n16384-identical-w1-k1,worst,4,16384,identical,1,1,10000,False,native,graph,batch_ms,5,0.0005057937550673211,0.0004953080208329689,0.0005117770150513605,0.0005057664798577041,0.0005076889428880031,1.9224630302990117e-06,5
